Date,Price,,,,,
06-11-2024,"24,637.45",,,,,
05-11-2024,"24,387.90",,,,,
04-11-2024,"24,256.06",,,,,
01-11-2024,"24,255.16",,,,,
31-10-2024,"24,156.87",,,,,
30-10-2024,"24,507.79",,,,,
29-10-2024,"24,562.55",,,,,
28-10-2024,"24,565.66",,,,,
25-10-2024,"24,463.67",,,,,
24-10-2024,"24,551.55",,,,,
23-10-2024,"24,573.62",,,,,
22-10-2024,"24,716.70",,,,,
21-10-2024,"24,723.33",,,,,
18-10-2024,"24,822.54",,,,,
17-10-2024,"24,690.48",,,,,
16-10-2024,"24,561.20",,,,,
15-10-2024,"24,439.08",,,,,
11-10-2024,"24,471.17",,,,,
10-10-2024,"24,302.26",,,,,
09-10-2024,"24,224.90",,,,,
08-10-2024,"24,072.51",,,,,
07-10-2024,"24,102.71",,,,,
04-10-2024,"24,162.83",,,,,
03-10-2024,"23,968.50",,,,,
02-10-2024,"24,001.55",,,,,
01-10-2024,"24,033.99",,,,,
30-09-2024,"24,000.37",,,,,
27-09-2024,"23,956.82",,,,,
26-09-2024,"24,033.83",,,,,
25-09-2024,"23,905.88",,,,,
24-09-2024,"23,952.22",,,,,
23-09-2024,"23,894.71",,,,,
20-09-2024,"23,867.37",,,,,
19-09-2024,"23,866.27",,,,,
18-09-2024,"23,592.60",,,,,
17-09-2024,"23,677.70",,,,,
16-09-2024,"23,702.07",,,,,
13-09-2024,"23,568.65",,,,,
12-09-2024,"23,475.14",,,,,
11-09-2024,"23,211.17",,,,,
10-09-2024,"23,003.09",,,,,
09-09-2024,"23,027.15",,,,,
06-09-2024,"22,781.43",,,,,
05-09-2024,"22,988.28",,,,,
04-09-2024,"23,040.76",,,,,
03-09-2024,"23,042.45",,,,,
30-08-2024,"23,346.18",,,,,
29-08-2024,"23,227.49",,,,,
28-08-2024,"23,126.98",,,,,
27-08-2024,"23,259.96",,,,,
26-08-2024,"23,348.97",,,,,
23-08-2024,"23,286.08",,,,,
22-08-2024,"23,037.47",,,,,
21-08-2024,"23,121.73",,,,,
20-08-2024,"23,037.44",,,,,
19-08-2024,"23,116.39",,,,,
16-08-2024,"23,054.61",,,,,
15-08-2024,"23,032.72",,,,,
14-08-2024,"22,760.01",,,,,
13-08-2024,"22,618.18",,,,,
12-08-2024,"22,398.93",,,,,
09-08-2024,"22,311.30",,,,,
08-08-2024,"22,225.61",,,,,
07-08-2024,"21,880.95",,,,,
06-08-2024,"21,979.36",,,,,
02-08-2024,"22,227.63",,,,,
01-08-2024,"22,723.21",,,,,
31-07-2024,"23,110.81",,,,,
30-07-2024,"22,824.67",,,,,
29-07-2024,"22,779.57",,,,,
26-07-2024,"22,814.81",,,,,
25-07-2024,"22,608.03",,,,,
24-07-2024,"22,639.57",,,,,
23-07-2024,"22,813.75",,,,,
22-07-2024,"22,872.65",,,,,
19-07-2024,"22,690.39",,,,,
18-07-2024,"22,726.76",,,,,
17-07-2024,"22,851.17",,,,,
16-07-2024,"22,995.39",,,,,
15-07-2024,"22,751.68",,,,,
12-07-2024,"22,673.52",,,,,
11-07-2024,"22,544.13",,,,,
10-07-2024,"22,350.23",,,,,
09-07-2024,"22,042.50",,,,,
08-07-2024,"22,126.13",,,,,
05-07-2024,"22,059.03",,,,,
04-07-2024,"22,244.02",,,,,
03-07-2024,"22,223.67",,,,,
02-07-2024,"21,953.80",,,,,
28-06-2024,"21,875.79",,,,,
27-06-2024,"21,942.16",,,,,
26-06-2024,"21,793.90",,,,,
25-06-2024,"21,788.48",,,,,
24-06-2024,"21,848.59",,,,,
21-06-2024,"21,554.86",,,,,
20-06-2024,"21,581.35",,,,,
19-06-2024,"21,516.90",,,,,
18-06-2024,"21,611.30",,,,,
17-06-2024,"21,587.88",,,,,
14-06-2024,"21,639.10",,,,,
13-06-2024,"21,698.11",,,,,
12-06-2024,"21,961.55",,,,,
11-06-2024,"21,887.34",,,,,
10-06-2024,"22,069.76",,,,,
07-06-2024,"22,007.00",,,,,
06-06-2024,"22,229.10",,,,,
05-06-2024,"22,145.02",,,,,
04-06-2024,"21,978.18",,,,,
03-06-2024,"22,116.69",,,,,
31-05-2024,"22,269.12",,,,,
30-05-2024,"22,071.71",,,,,
29-05-2024,"21,897.98",,,,,
28-05-2024,"22,265.05",,,,,
27-05-2024,"22,373.38",,,,,
24-05-2024,"22,320.87",,,,,
23-05-2024,"22,200.79",,,,,
22-05-2024,"22,346.76",,,,,
21-05-2024,"22,468.16",,,,,
17-05-2024,"22,465.37",,,,,
16-05-2024,"22,299.83",,,,,
15-05-2024,"22,284.76",,,,,
14-05-2024,"22,243.34",,,,,
13-05-2024,"22,259.17",,,,,
10-05-2024,"22,308.93",,,,,
09-05-2024,"22,375.83",,,,,
08-05-2024,"22,259.16",,,,,
07-05-2024,"22,290.62",,,,,
06-05-2024,"22,259.47",,,,,
03-05-2024,"21,947.41",,,,,
02-05-2024,"21,823.22",,,,,
01-05-2024,"21,728.55",,,,,
30-04-2024,"21,714.54",,,,,
29-04-2024,"22,011.62",,,,,
26-04-2024,"21,969.24",,,,,
25-04-2024,"21,885.38",,,,,
24-04-2024,"21,873.72",,,,,
23-04-2024,"22,011.72",,,,,
22-04-2024,"21,871.96",,,,,
19-04-2024,"21,807.37",,,,,
18-04-2024,"21,708.44",,,,,
17-04-2024,"21,656.05",,,,,
16-04-2024,"21,642.87",,,,,
15-04-2024,"21,740.20",,,,,
12-04-2024,"21,899.99",,,,,
11-04-2024,"22,110.11",,,,,
10-04-2024,"22,199.13",,,,,
09-04-2024,"22,361.78",,,,,
08-04-2024,"22,260.30",,,,,
05-04-2024,"22,264.38",,,,,
04-04-2024,"22,051.79",,,,,
03-04-2024,"22,112.46",,,,,
02-04-2024,"22,075.10",,,,,
01-04-2024,"22,185.25",,,,,
28-03-2024,"22,167.03",,,,,
27-03-2024,"22,107.08",,,,,
26-03-2024,"21,912.52",,,,,
25-03-2024,"21,942.28",,,,,
22-03-2024,"21,984.08",,,,,
21-03-2024,"22,087.26",,,,,
20-03-2024,"22,045.71",,,,,
19-03-2024,"21,860.58",,,,,
18-03-2024,"21,837.18",,,,,
15-03-2024,"21,849.15",,,,,
14-03-2024,"21,829.85",,,,,
13-03-2024,"21,970.11",,,,,
12-03-2024,"21,831.02",,,,,
11-03-2024,"21,769.22",,,,,
08-03-2024,"21,737.53",,,,,
07-03-2024,"21,794.56",,,,,
06-03-2024,"21,593.96",,,,,
05-03-2024,"21,525.93",,,,,
04-03-2024,"21,531.07",,,,,
01-03-2024,"21,552.35",,,,,
29-02-2024,"21,363.61",,,,,
28-02-2024,"21,243.77",,,,,
27-02-2024,"21,318.90",,,,,
26-02-2024,"21,324.31",,,,,
23-02-2024,"21,413.15",,,,,
22-02-2024,"21,318.08",,,,,
21-02-2024,"21,172.38",,,,,
20-02-2024,"21,217.53",,,,,
16-02-2024,"21,255.61",,,,,
